nm,sc,mc,lc,rh,mel,v
397,0.023143600,0.001402630,0.001533820,0.006050000,0.007651020,0.000281240000
398,0.027775000,0.001679920,0.001824430,0.006980000,0.008756940,0.000318520000
399,0.033233900,0.002001800,0.002158960,0.008060000,0.010014600,0.000357267000
400,0.039630800,0.002372080,0.002540730,0.009290000,0.011427700,0.000396000000
401,0.047080100,0.002794330,0.002972820,0.010700000,0.013076700,0.000433715000
402,0.055701200,0.003273740,0.003459930,0.012310000,0.015039700,0.000473024000
403,0.065613700,0.003816600,0.004007930,0.014130000,0.017316600,0.000517876000
404,0.076932300,0.004430210,0.004623700,0.016190000,0.019907100,0.000572219000
405,0.089761200,0.005123160,0.005315460,0.018520000,0.022811200,0.000640000000
406,0.104188000,0.005904580,0.006091380,0.021130000,0.026319400,0.000724560000
407,0.120273000,0.006780050,0.006952910,0.024050000,0.030596400,0.000825500000
408,0.138044000,0.007752600,0.007896340,0.027300000,0.035453800,0.000941160000
409,0.157485000,0.008822860,0.008913000,0.030890000,0.040702800,0.001069880000
410,0.178530000,0.009988410,0.009988350,0.034840000,0.046155000,0.001210000000
411,0.201077000,0.011245200,0.011105400,0.039160000,0.051782200,0.001362091000
412,0.225091000,0.012594900,0.012260700,0.043900000,0.057780400,0.001530752000
413,0.250566000,0.014042500,0.013457800,0.049000000,0.064297200,0.001720368000
414,0.277507000,0.015594400,0.014704400,0.054500000,0.071480100,0.001935323000
415,0.305941000,0.017259600,0.016013000,0.060400000,0.079476600,0.002180000000
416,0.335858000,0.019046700,0.017395800,0.066800000,0.089180700,0.002454800000
417,0.366981000,0.020954500,0.018845200,0.073600000,0.100756000,0.002764000000
418,0.398876000,0.022976300,0.020344000,0.080800000,0.113256000,0.003117800000
419,0.430998000,0.025101700,0.021870000,0.088500000,0.125732000,0.003526400000
420,0.462692000,0.027316300,0.023395700,0.096600000,0.137237000,0.004000000000
421,0.493357000,0.029606200,0.024896100,0.105200000,0.147446000,0.004546240000
422,0.523006000,0.031974600,0.026376100,0.114100000,0.157014000,0.005159320000
423,0.551939000,0.034433000,0.027854100,0.123500000,0.166463000,0.005829280000
424,0.580599000,0.036998300,0.029355100,0.133400000,0.176316000,0.006546160000
425,0.609570000,0.039692800,0.030910400,0.143600000,0.187096000,0.007300000000
426,0.639359000,0.042540200,0.032549800,0.154100000,0.199210000,0.008086507000
427,0.669651000,0.045547400,0.034271400,0.165100000,0.212408000,0.008908720000
428,0.699829000,0.048716100,0.036062000,0.176400000,0.226225000,0.009767680000
429,0.729177000,0.052046700,0.037905200,0.187900000,0.240199000,0.010664430000
430,0.756885000,0.055538400,0.039781000,0.199800000,0.253865000,0.011600000000
431,0.782292000,0.059187600,0.041670500,0.211900000,0.267021000,0.012573170000
432,0.805666000,0.062981900,0.043572800,0.224300000,0.279976000,0.013582720000
433,0.827599000,0.066903100,0.045493200,0.236900000,0.293034000,0.014629680000
434,0.848780000,0.070928500,0.047438500,0.249600000,0.306500000,0.015715090000
435,0.869984000,0.075029900,0.049417200,0.262500000,0.320679000,0.016840000000
436,0.891761000,0.079176900,0.051434300,0.275500000,0.336016000,0.018007360000
437,0.913444000,0.083346300,0.053473500,0.288600000,0.352361000,0.019214480000
438,0.933977000,0.087516000,0.055510200,0.301700000,0.369128000,0.020453920000
439,0.952218000,0.091662500,0.057516600,0.314900000,0.385732000,0.021718240000
440,0.966960000,0.095761200,0.059461900,0.328100000,0.401587000,0.023000000000
441,0.977340000,0.099797700,0.061324000,0.341200000,0.416472000,0.024294610000
442,0.984028000,0.103804000,0.063128800,0.354300000,0.430797000,0.025610240000
443,0.988144000,0.107834000,0.064918900,0.367300000,0.444921000,0.026958570000
444,0.990851000,0.111948000,0.066742500,0.380300000,0.459203000,0.028351250000
445,0.993336000,0.116220000,0.068653800,0.393100000,0.474002000,0.029800000000
446,0.996373000,0.120706000,0.070696300,0.406000000,0.489517000,0.031310830000
447,0.999038000,0.125363000,0.072850800,0.418000000,0.505522000,0.032883680000
448,0.999978000,0.130111000,0.075077800,0.431000000,0.521741000,0.034521120000
449,0.997844000,0.134856000,0.077332500,0.443000000,0.537898000,0.036225710000
450,0.991329000,0.139493000,0.079564700,0.455000000,0.553715000,0.038000000000
451,0.979657000,0.143943000,0.081736800,0.467000000,0.569100000,0.039846670000
452,0.963905000,0.148281000,0.083882600,0.479000000,0.584240000,0.041768000000
453,0.945573000,0.152637000,0.086059800,0.490000000,0.599281000,0.043766000000
454,0.926078000,0.157157000,0.088332200,0.502000000,0.614370000,0.045842670000
455,0.906735000,0.162006000,0.090770400,0.513000000,0.629654000,0.048000000000
456,0.888509000,0.167331000,0.093439700,0.524000000,0.645193000,0.050243680000
457,0.871353000,0.173144000,0.096357700,0.535000000,0.660892000,0.052573040000
458,0.854998000,0.179417000,0.099530400,0.546000000,0.676660000,0.054980560000
